Title,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent
When the Game Stands Tall,"$30,138,754","$30,127,963",100%,"$10,791",<0.1%
The Rum Diary,"$30,134,958","$13,109,815",43.50%,"$17,025,143",56.50%
Clergy,"$30,114,115",-,-,"$30,114,115",100%
My Own Swordsman,"$30,082,188",-,-,"$30,082,188",100%
My Hero Academia: Heroes Rising,"$29,971,229","$13,304,000",44.40%,"$16,667,229",55.60%
Reset 2017 Re-release,"$29,949,252","$108,970",0.40%,"$29,840,282",99.60%
Keeping Up with the Joneses,"$29,918,745","$14,904,426",49.80%,"$15,014,319",50.20%
Escape from Mogadishu,"$29,902,716","$346,271",1.20%,"$29,556,445",98.80%
The Bye Bye Man,"$29,874,280","$22,395,806",75%,"$7,478,474",25%
You Are the Apple of My Eye,"$29,843,025",-,-,"$29,843,025",100%
Vikram,"$29,837,637","$1,770,000",5.90%,"$28,067,637",94.10%
Draft Day,"$29,824,199","$28,842,237",96.70%,"$981,962",3.30%
The Disaster Artist,"$29,820,616","$21,120,616",70.80%,"$8,700,000",29.20%
Ice,"$29,806,210",-,-,"$29,806,210",100%
Jackie,"$29,777,777","$13,960,394",46.90%,"$15,817,383",53.10%
Torrente 4,"$29,737,384",-,-,"$29,737,384",100%
The Swindlers,"$29,721,916","$241,916",0.80%,"$29,480,000",99.20%
The Raven,"$29,699,345","$16,008,272",53.90%,"$13,691,073",46.10%
Masterminds,"$29,674,699","$17,368,022",58.50%,"$12,306,677",41.50%
Amour,"$29,652,180","$6,739,492",22.70%,"$22,912,688",77.30%
The Sorcerer and the White Snake,"$29,649,716",-,-,"$29,649,716",100%
Rajneeti,"$29,459,596","$1,514,558",5.10%,"$27,945,038",94.90%
The Losers,"$29,397,654","$23,591,432",80.20%,"$5,806,222",19.80%
Free Solo,"$29,390,279","$17,541,090",59.70%,"$11,849,189",40.30%
All About My Wife,"$29,382,038",-,-,"$29,382,038",100%
Alibi.com,"$29,370,592",-,-,"$29,370,592",100%
Mr. Holmes,"$29,355,203","$17,737,646",60.40%,"$11,617,557",39.60%
Rowdy Rathore,"$29,342,463","$777,373",2.60%,"$28,565,090",97.40%
The Witches,"$29,333,671","$203,571",0.70%,"$29,130,100",99.30%
Sword Art Online the Movie: Ordinal Scale,"$29,322,339","$1,522,976",5.20%,"$27,799,363",94.80%
Silent Witness,"$29,315,945",-,-,"$29,315,945",100%
Mrs. Harris Goes to Paris,"$29,299,147","$10,433,915",35.60%,"$18,865,232",64.40%
Big Eyes,"$29,253,166","$14,482,031",49.50%,"$14,771,135",50.50%
Fall In Love At First Kiss,"$29,206,238",-,-,"$29,206,238",100%
The Santa Claus Gang,"$29,181,330",-,-,"$29,181,330",100%
Dark Figure of Crime,"$29,176,133",-,-,"$29,176,133",100%
Flight Crew,"$29,171,110",-,-,"$29,171,110",100%
Unfair: The Answer,"$29,166,054",-,-,"$29,166,054",100%
Viking,"$29,161,298",-,-,"$29,161,298",100%
Dragon,"$29,140,858",-,-,"$29,140,858",100%
Special ID,"$29,139,936","$12,666",<0.1%,"$29,127,270",100%
The Unbearable Weight of Massive Talent,"$29,116,320","$20,300,157",69.70%,"$8,816,163",30.30%
Sacrifice,"$29,093,560","$29,792",0.10%,"$29,063,768",99.90%
The Fatal Encounter,"$29,060,186",-,-,"$29,060,186",100%
Pad Man,"$29,045,020","$1,670,192",5.80%,"$27,374,828",94.20%
SPEC: Heaven,"$29,023,960",-,-,"$29,023,960",100%
Recep Ivedik 5,"$28,952,258",-,-,"$28,952,258",100%
M.S. Dhoni: The Untold Story,"$28,903,047","$1,801,550",6.20%,"$27,101,497",93.80%
We Were There: True Love,"$28,876,929",-,-,"$28,876,929",100%
Kokowääh 2,"$28,811,936",-,-,"$28,811,936",100%
Bol Bachchan,"$28,775,262","$1,216,258",4.20%,"$27,559,004",95.80%
Mirai,"$28,756,961","$812,794",2.80%,"$27,944,167",97.20%
Judwaa 2,"$28,733,523","$1,431,255",5%,"$27,302,268",95%
Yolki 2,"$28,719,002",-,-,"$28,719,002",100%
Bath Buddy,"$28,700,000",-,-,"$28,700,000",100%
Master,"$28,692,230",-,-,"$28,692,230",100%
The Suspect,"$28,674,130","$218,693",0.80%,"$28,455,437",99.20%
The Fortress,"$28,645,448","$252,895",0.90%,"$28,392,553",99.10%
Love & Mercy,"$28,641,776","$12,551,031",43.80%,"$16,090,745",56.20%
Maya the Bee Movie,"$28,638,603",-,-,"$28,638,603",100%
The Four 2,"$28,599,970",-,-,"$28,599,970",100%
Pokémon the Movie: Diancie and the Cocoon of Destruction,"$28,595,105",-,-,"$28,595,105",100%
Scoob!,"$28,559,165","$2,188,425",7.70%,"$26,370,740",92.30%
Flying Colors,"$28,525,563",-,-,"$28,525,563",100%
Ala Vaikunthapurramuloo,"$28,477,890",-,-,"$28,477,890",100%
Deranged,"$28,444,173",-,-,"$28,444,173",100%
The Last Warrior: Root of Evil,"$28,357,398",-,-,"$28,357,398",100%
The Kiyosu Conference,"$28,338,665",-,-,"$28,338,665",100%
I Give It a Year,"$28,328,531","$34,657",0.10%,"$28,293,874",99.90%
Gully Boy,"$28,299,498","$5,566,534",19.70%,"$22,732,964",80.30%
The Master,"$28,258,060","$16,377,274",58%,"$11,880,786",42%
Fan,"$28,240,000","$2,300,000",8.10%,"$25,940,000",91.90%
"Yôkai Watch: the Movie: The Flying Whale and the Grand Adventure of the Double Worlds, Meow!","$28,110,245",-,-,"$28,110,245",100%
Triumph in the Skies,"$28,085,162",-,-,"$28,085,162",100%
Welcome to Germany,"$28,036,021",-,-,"$28,036,021",100%
Your Highness,"$28,013,733","$21,596,445",77.10%,"$6,417,288",22.90%
Mandela: Long Walk to Freedom,"$27,985,788","$8,323,085",29.70%,"$19,662,703",70.30%
The Brothers Grimsby,"$27,979,040","$6,874,837",24.60%,"$21,104,203",75.40%
What Happened to Monday,"$27,975,429",-,-,"$27,975,429",100%
The 33,"$27,972,023","$12,227,722",43.70%,"$15,744,301",56.30%
The Divine Move,"$27,926,871","$136,707",0.50%,"$27,790,164",99.50%
Monster Family,"$27,890,108","$127,259",0.50%,"$27,762,849",99.50%
The Beguiled,"$27,869,129","$10,709,995",38.40%,"$17,159,134",61.60%
When Larry Meets Mary,"$27,863,090",-,-,"$27,863,090",100%
Dark Skies,"$27,858,103","$17,418,667",62.50%,"$10,439,436",37.50%
The 355,"$27,827,450","$14,570,455",52.40%,"$13,256,995",47.60%
The Lady Shogun and Her Men,"$27,769,952",-,-,"$27,769,952",100%
Love Strikes!,"$27,707,149",-,-,"$27,707,149",100%
Kim Ji-young: Born 1982,"$27,696,393",-,-,"$27,696,393",100%
Default,"$27,694,043","$203,775",0.70%,"$27,490,268",99.30%
Nebraska,"$27,682,872","$17,654,912",63.80%,"$10,027,960",36.20%
Bride Wars,"$27,670,000",-,-,"$27,670,000",100%
One Cut of the Dead,"$27,590,180","$52,406",0.20%,"$27,537,774",99.80%
Nicholas on Holiday,"$27,567,832",-,-,"$27,567,832",100%
The Women on the 6th Floor,"$27,533,970","$719,823",2.60%,"$26,814,147",97.40%
Grace of Monaco,"$27,515,247",-,-,"$27,515,247",100%
Serial (Bad) Weddings 3,"$27,509,617",-,-,"$27,509,617",100%
The Happytime Murders,"$27,506,452","$20,706,452",75.30%,"$6,800,000",24.70%
The Incredible Burt Wonderstone,"$27,437,881","$22,537,881",82.10%,"$4,900,000",17.90%
Yesterday Once More,"$27,411,872",-,-,"$27,411,872",100%
Left Behind,"$27,405,896","$14,019,924",51.20%,"$13,385,972",48.80%
Irrational Man,"$27,391,084","$4,030,360",14.70%,"$23,360,724",85.30%
Legend of the Fist: The Return of Chen Zhen,"$27,390,678","$50,433",0.20%,"$27,340,245",99.80%
Detective K: Secret of the Lost Island,"$27,387,870","$185,367",0.70%,"$27,202,503",99.30%
Gorko!,"$27,369,902",-,-,"$27,369,902",100%
Midnight Sun,"$27,365,467","$9,561,064",34.90%,"$17,804,403",65.10%
Pokémon: Mewtwo Strikes Back - Evolution,"$27,347,118",-,-,"$27,347,118",100%
Ramona and Beezus,"$27,293,743","$26,167,002",95.90%,"$1,126,741",4.10%
To the Fore,"$27,267,799",-,-,"$27,267,799",100%
American Ultra,"$27,262,374","$14,440,985",53%,"$12,821,389",47%
VIP Policeman,"$27,222,681",-,-,"$27,222,681",100%
Khumba,"$27,187,375","$1,029",<0.1%,"$27,186,346",100%
Splice 2010 Re-release,"$27,127,620","$17,010,170",62.70%,"$10,117,450",37.30%
Let Me In,"$27,093,592","$12,134,935",44.80%,"$14,958,657",55.20%
Joy of Fatherhood,"$27,088,817",-,-,"$27,088,817",100%
My Neighbor Totoro 2018 Re-release,"$27,083,857","$1,144,649",4.20%,"$25,939,208",95.80%
The Last Warrior: A Messenger of Darkness,"$27,052,365",-,-,"$27,052,365",100%
Hitchcock,"$27,039,669","$6,008,677",22.20%,"$21,030,992",77.80%
Almost a Comedy,"$26,990,962",-,-,"$26,990,962",100%
Letters to Santa,"$26,923,513",-,-,"$26,923,513",100%
Total Dhamaal,"$26,911,995","$2,167,632",8.10%,"$24,744,363",91.90%
You're Next,"$26,895,481","$18,494,006",68.80%,"$8,401,475",31.20%
Mr. Go,"$26,835,201",-,-,"$26,835,201",100%
CHIPS,"$26,800,152","$18,600,152",69.40%,"$8,200,000",30.60%
The Faces of My Gene,"$26,796,279",-,-,"$26,796,279",100%
Dearest,"$26,723,916",-,-,"$26,723,916",100%
A Monster in Paris,"$26,710,392",-,-,"$26,710,392",100%
Architecture 101,"$26,642,354",-,-,"$26,642,354",100%
A Cure for Wellness,"$26,620,002","$8,106,986",30.50%,"$18,513,016",69.50%
Missing Link,"$26,565,710","$16,649,539",62.70%,"$9,916,171",37.30%
American Underdog,"$26,514,814","$26,514,814",100%,-,-
Chaos Walking,"$26,508,132","$13,287,908",50.10%,"$13,220,224",49.90%
No Manches Frida 2,"$26,493,648","$9,270,920",35%,"$17,222,728",65%
A Hard Day,"$26,488,847","$19,004",<0.1%,"$26,469,843",99.90%
The Break Up Man,"$26,477,012",-,-,"$26,477,012",100%
The Way Way Back,"$26,474,920","$21,506,546",81.20%,"$4,968,374",18.80%
We Are the Nobles,"$26,433,651",-,-,"$26,433,651",100%
Ivan Tsarevich & the Grey Wolf,"$26,420,475",-,-,"$26,420,475",100%
Dancing Queen,"$26,411,266",-,-,"$26,411,266",100%
Emma.,"$26,404,660","$10,055,355",38.10%,"$16,349,305",61.90%
Only the Brave,"$26,351,322","$18,343,983",69.60%,"$8,007,339",30.40%
Twenty Two,"$26,289,378","$46,796",0.20%,"$26,242,582",99.80%
Orange,"$26,261,536",-,-,"$26,261,536",100%
Aloha,"$26,250,020","$21,067,116",80.30%,"$5,182,904",19.70%
The Stolen Years,"$26,249,553",-,-,"$26,249,553",100%
Apollo 18,"$26,236,153","$17,687,709",67.40%,"$8,548,444",32.60%
The Confidence Man JP,"$26,228,317",-,-,"$26,228,317",100%
One Night Surprise,"$26,220,159",-,-,"$26,220,159",100%
Lesson of the Evil,"$26,167,224",-,-,"$26,167,224",100%
The Zookeeper's Wife,"$26,152,835","$17,571,660",67.20%,"$8,581,175",32.80%
Badrinath Ki Dulhania,"$26,134,309","$1,993,259",7.60%,"$24,141,050",92.40%
Badhaai Ho,"$26,125,610",-,-,"$26,125,610",100%
Top Five,"$26,117,471","$25,317,471",96.90%,"$800,000",3.10%
Hichki,"$26,055,222","$330,279",1.30%,"$25,724,943",98.70%
Platinum Data,"$26,052,718",-,-,"$26,052,718",100%
Iceman,"$26,033,917","$7,679",<0.1%,"$26,026,238",100%
Agneepath,"$26,001,696","$1,986,748",7.60%,"$24,014,948",92.40%
The Courier,"$26,001,227","$6,613,432",25.40%,"$19,387,795",74.60%
The Light Between Oceans,"$25,975,621","$12,545,979",48.30%,"$13,429,642",51.70%
A Chinese Odyssey: Part 2 - Cinderella 2017 Re-release,"$25,960,664",-,-,"$25,960,664",100%
Love Off the Cuff,"$25,959,989",-,-,"$25,959,989",100%
Confidence man JP the movie,"$25,958,189",-,-,"$25,958,189",100%
White Boy Rick,"$25,957,482","$24,011,188",92.50%,"$1,946,294",7.50%
Meet Miss Anxiety,"$25,948,636",-,-,"$25,948,636",100%
"Paul, Apostle of Christ","$25,915,966","$17,560,475",67.80%,"$8,355,491",32.20%
Huevos: Little Rooster's Egg-cellent Adventure,"$25,892,561","$9,080,818",35.10%,"$16,811,743",64.90%
Gekijouban SPEC: Kurôzu - Zen no hen,"$25,860,404",-,-,"$25,860,404",100%
Dügün Dernek 2: Sünnet,"$25,836,668",-,-,"$25,836,668",100%
Leap,"$25,818,882","$83,074",0.30%,"$25,735,808",99.70%
Unbeatable,"$25,816,154",-,-,"$25,816,154",100%
Rust and Bone,"$25,807,712","$2,062,027",8%,"$23,745,685",92%
Our Idiot Brother,"$25,804,448","$24,816,118",96.20%,"$988,330",3.80%
Fair Game,"$25,798,915","$9,540,691",37%,"$16,258,224",63%
"The Gangster, the Cop, the Devil","$25,775,371","$216,494",0.80%,"$25,558,877",99.20%
Man on the Edge,"$25,774,679",-,-,"$25,774,679",100%
Champions,"$25,766,564",-,-,"$25,766,564",100%
A Beautiful Planet,"$25,730,120","$15,650,615",60.80%,"$10,079,505",39.20%
Fireworks,"$25,672,406","$525,280",2%,"$25,147,126",98%
The Roundup,"$25,623,521",-,-,"$25,623,521",100%
Father Figures,"$25,601,244","$17,501,244",68.40%,"$8,100,000",31.60%
"Love, Rosie","$25,574,387","$20,431",<0.1%,"$25,553,956",99.90%
Mr. Donkey,"$25,537,759","$356,255",1.40%,"$25,181,504",98.60%
Look Who's Back,"$25,513,752",-,-,"$25,513,752",100%
Money,"$25,403,753",-,-,"$25,403,753",100%
Head Over Heels 2,"$25,402,893",-,-,"$25,402,893",100%
Leap! 2017 Re-release,"$25,376,094","$21,858,070",86.10%,"$3,518,024",13.90%
Keys To The Heart,"$25,375,866","$75,134",0.30%,"$25,300,732",99.70%
Serial Teachers 2,"$25,364,150",-,-,"$25,364,150",100%
Christmas in South Africa,"$25,362,517",-,-,"$25,362,517",100%
A Haunted House 2,"$25,358,716","$17,329,486",68.30%,"$8,029,230",31.70%
And So It Goes,"$25,312,387","$15,160,801",59.90%,"$10,151,586",40.10%
Bodies at Rest,"$25,293,853",-,-,"$25,293,853",100%
Enough Said,"$25,288,872","$17,550,872",69.40%,"$7,738,000",30.60%
Biutiful,"$25,147,786","$5,101,237",20.30%,"$20,046,549",79.70%
On the Other Side of the Tracks,"$25,109,572","$9,572",<0.1%,"$25,100,000",100%
Born in China,"$25,081,168","$13,873,211",55.30%,"$11,207,957",44.70%
Race,"$25,070,261","$19,206,207",76.60%,"$5,864,054",23.40%
Helter Skelter,"$25,066,699",-,-,"$25,066,699",100%
The Last Exorcism Part II,"$25,051,865","$15,179,302",60.60%,"$9,872,563",39.40%
Call of Heroes,"$25,040,561",-,-,"$25,040,561",100%
Free State of Jones,"$25,035,950","$20,810,036",83.10%,"$4,225,914",16.90%
Six Degrees of Celebration,"$25,030,264",-,-,"$25,030,264",100%
The Last Tycoon,"$25,009,914",-,-,"$25,009,914",100%
"Me, Myself and Mum","$24,991,467",-,-,"$24,991,467",100%
Whiskey Tango Foxtrot,"$24,972,139","$23,083,334",92.40%,"$1,888,805",7.60%
Booksmart,"$24,959,607","$22,680,962",90.90%,"$2,278,645",9.10%
Housefull 2,"$24,922,847","$1,791,780",7.20%,"$23,131,067",92.80%
Spencer,"$24,901,028","$7,086,632",28.50%,"$17,814,396",71.50%
Gravity 2020 Re-release,"$24,857,244",-,-,"$24,857,244",100%
The Kashmir Files,"$24,821,898","$1,485,000",6%,"$23,336,898",94%
Wild City,"$24,817,852","$34,866",0.10%,"$24,782,986",99.90%
Elle s'appelait Sarah,"$24,792,815","$7,693,187",31%,"$17,099,628",69%
Eyyvah Eyvah 2,"$24,792,348",-,-,"$24,792,348",100%
Lottery Ticket,"$24,719,879","$24,719,879",100%,-,-
Big Miracle,"$24,719,215","$20,157,300",81.50%,"$4,561,915",18.50%
Super 30,"$24,701,637","$2,269,878",9.20%,"$22,431,759",90.80%
Soulmate,"$24,684,439",-,-,"$24,684,439",100%
Drug War,"$24,676,341","$128,195",0.50%,"$24,548,146",99.50%
Ready,"$24,663,361","$955,148",3.90%,"$23,708,213",96.10%
Liar Game: The Final Stage,"$24,658,706",-,-,"$24,658,706",100%
The Death of Stalin,"$24,646,055","$8,047,856",32.70%,"$16,598,199",67.30%
The Snow Queen 3: Fire and Ice,"$24,644,317",-,-,"$24,644,317",100%
La La Land 2020 Re-release,"$24,642,749",-,-,"$24,642,749",100%
Sparkle,"$24,637,800","$24,397,469",99%,"$240,331",1%
The Players,"$24,629,152","$10,854",<0.1%,"$24,618,298",100%
Liar Game: Reborn,"$24,549,726",-,-,"$24,549,726",100%
The Father,"$24,496,257","$2,122,771",8.70%,"$22,373,486",91.30%
God's Not Dead 2,"$24,487,848","$20,774,575",84.80%,"$3,713,273",15.20%
Skyfire,"$24,444,590","$1,105",<0.1%,"$24,443,485",100%
The Tale of The Princess Kaguya,"$24,434,485","$703,232",2.90%,"$23,731,253",97.10%
The 8-Year Engagement,"$24,425,963",-,-,"$24,425,963",100%
Stan & Ollie,"$24,420,923","$5,470,235",22.40%,"$18,950,688",77.60%
The Witch: Part 1 - The Subversion,"$24,340,302",-,-,"$24,340,302",100%
The Great Beauty,"$24,271,739","$2,852,400",11.80%,"$21,419,339",88.20%
Trance,"$24,261,569","$2,328,743",9.60%,"$21,932,826",90.40%
The Accidental Detective 2: In Action,"$24,243,825","$179,045",0.70%,"$24,064,780",99.30%
Camping 3,"$24,224,579",-,-,"$24,224,579",100%
Jolly LLB 2,"$24,214,186","$1,654,254",6.80%,"$22,559,932",93.20%
The Railway Man,"$24,174,885","$4,438,438",18.40%,"$19,736,447",81.60%
The Way Back,"$24,172,201","$2,701,859",11.20%,"$21,470,342",88.80%
The Founder,"$24,121,245","$12,786,053",53%,"$11,335,192",47%
Out of Inferno,"$24,109,886",-,-,"$24,109,886",100%
Start-Up,"$24,106,579",-,-,"$24,106,579",100%
Bad Santa 2,"$24,079,268","$17,782,178",73.80%,"$6,297,090",26.20%
Kung Fu Jungle,"$24,070,765","$129,784",0.50%,"$23,940,981",99.50%
The Night Owl,"$24,039,683",-,-,"$24,039,683",100%
I Can Speak,"$24,024,444","$63,239",0.30%,"$23,961,205",99.70%
Nasha Russia. Yaytsa sudby,"$24,022,125",-,-,"$24,022,125",100%
Bring Happiness Home,"$23,980,000",-,-,"$23,980,000",100%
I Want You,"$23,961,214",-,-,"$23,961,214",100%
Türkisch für Anfänger,"$23,952,712",-,-,"$23,952,712",100%
Killing for the Prosecution,"$23,929,620",-,-,"$23,929,620",100%
Spirits' Homecoming,"$23,857,217","$125,616",0.50%,"$23,731,601",99.50%
Pinocchio,"$23,841,090","$1,831,718",7.70%,"$22,009,372",92.30%
Silence,"$23,834,809","$7,100,177",29.80%,"$16,734,632",70.20%
Wanderlust,"$23,812,816","$17,450,535",73.30%,"$6,362,281",26.70%
A Rainy Day in New York,"$23,805,899",-,-,"$23,805,899",100%
"Little Brother, Big Trouble: A Christmas Adventure","$23,785,681",-,-,"$23,785,681",100%
Interstellar 2020 Re-release,"$23,771,122",-,-,"$23,771,122",100%
Pokémon the Movie: The Power of Us,"$23,740,788","$789,170",3.30%,"$22,951,618",96.70%
The Peanut Butter Falcon,"$23,712,090","$20,457,151",86.30%,"$3,254,939",13.70%
Just Call Me Nobody,"$23,705,022",-,-,"$23,705,022",100%
To the Arctic 3D,"$23,695,388","$14,560,838",61.50%,"$9,134,550",38.50%
Little White Lies 2,"$23,623,665",-,-,"$23,623,665",100%
Kevin Hart: What Now?,"$23,591,043","$23,591,043",100%,-,-
No manches Frida,"$23,540,937","$11,528,613",49%,"$12,012,324",51%
Wish Upon,"$23,468,586","$14,301,505",60.90%,"$9,167,081",39.10%
Act of Vengeance,"$23,423,390",-,-,"$23,423,390",100%
Ossan's Love: Love or Dead,"$23,422,744",-,-,"$23,422,744",100%
Only Cloud Knows,"$23,414,998",-,-,"$23,414,998",100%
In His Chart,"$23,384,864",-,-,"$23,384,864",100%
Detroit,"$23,355,100","$16,790,139",71.90%,"$6,564,961",28.10%
Middle School: The Worst Years of My Life,"$23,316,139","$20,007,149",85.80%,"$3,308,990",14.20%
Warrior,"$23,308,615","$13,657,115",58.60%,"$9,651,500",41.40%
The Confidence Man JP: Episode of the Hero,"$23,214,581",-,-,"$23,214,581",100%
Triple 9,"$23,177,948","$12,639,297",54.50%,"$10,538,651",45.50%
Hoodwinked 2: Hood vs. Evil,"$23,167,844","$10,143,779",43.80%,"$13,024,065",56.20%
The Guernsey Literary and Potato Peel Pie Society,"$23,148,937",-,-,"$23,148,937",100%
The Crimes That Bind,"$23,144,130",-,-,"$23,144,130",100%
Rock Dog,"$23,139,802","$9,420,546",40.70%,"$13,719,256",59.30%
New Happy Dad and Son 3: Adventure in Russia,"$23,130,469",-,-,"$23,130,469",100%
Dark Waters,"$23,108,017","$11,136,084",48.20%,"$11,971,933",51.80%
Harry Potter and the Chamber of Secrets 2022 Re-release,"$23,102,370",-,-,"$23,102,370",100%
The Marksman,"$23,076,711","$15,566,093",67.50%,"$7,510,618",32.50%
The Farewell,"$23,076,657","$17,695,781",76.70%,"$5,380,876",23.30%
The Witch: Part 2 - The Other One,"$23,068,596","$143,723",0.60%,"$22,924,873",99.40%
The Choice,"$23,064,015","$18,730,891",81.20%,"$4,333,124",18.80%
99.9 Criminal Lawyer: The Movie,"$23,055,069",-,-,"$23,055,069",100%
Under the Hawthorn Tree,"$23,004,431",-,-,"$23,004,431",100%
Padmaavat,"$22,991,060","$11,846,060",51.50%,"$11,145,000",48.50%
Hotaru the Movie: It's Only a Little Light in My Life,"$22,975,341",-,-,"$22,975,341",100%
Last Night in Soho,"$22,957,625","$10,127,625",44.10%,"$12,830,000",55.90%
Penny Pincher!,"$22,955,486",-,-,"$22,955,486",100%
Young Adult,"$22,939,027","$16,311,571",71.10%,"$6,627,456",28.90%
Andalucia: Revenge of the Goddess,"$22,929,221",-,-,"$22,929,221",100%
A Separation,"$22,926,076","$7,099,055",31%,"$15,827,021",69%
Hot Road,"$22,916,313",-,-,"$22,916,313",100%
Qualunquemente,"$22,862,029",-,-,"$22,862,029",100%
Won't You Be My Neighbor?,"$22,844,741","$22,835,787",100%,"$8,954",<0.1%
Kon-Tiki,"$22,842,887","$1,517,410",6.60%,"$21,325,477",93.40%
The Knight of Shadows: Between Yin and Yang,"$22,774,256",-,-,"$22,774,256",100%
Extraordinary Mission,"$22,757,764","$54,174",0.20%,"$22,703,590",99.80%
Black and Blue,"$22,741,061","$22,055,313",97%,"$685,748",3%
Poupelle of Chimney Town,"$22,715,146",-,-,"$22,715,146",100%
Fading Gigolo,"$22,706,304","$3,769,873",16.60%,"$18,936,431",83.40%
Fall in Love Like a Star,"$22,640,355",-,-,"$22,640,355",100%
Recep Ivedik 3,"$22,588,876",-,-,"$22,588,876",100%
The Last 10 Years,"$22,539,146",-,-,"$22,539,146",100%
Friends: Naki on the Monster Island,"$22,537,428",-,-,"$22,537,428",100%
The Day We Lit Up the Sky,"$22,500,000",-,-,"$22,500,000",100%
Europe Raiders,"$22,435,156",-,-,"$22,435,156",100%
Villain,"$22,414,467",-,-,"$22,414,467",100%
Late Night,"$22,386,555","$15,499,454",69.20%,"$6,887,101",30.80%
Mojin: The Worm Valley,"$22,381,583","$101,516",0.50%,"$22,280,067",99.50%
Harry Potter and the Chamber of Secrets 2021 Re-release,"$22,349,685","$191,501",0.90%,"$22,158,184",99.10%
Les Misérables,"$22,342,519","$330,181",1.50%,"$22,012,338",98.50%
Kamen Rider OOO Wonderful: The Shogun and the 21 Core Medals,"$22,313,925",-,-,"$22,313,925",100%
Gretel & Hansel,"$22,304,357","$15,347,654",68.80%,"$6,956,703",31.20%
6/45,"$22,263,336",-,-,"$22,263,336",100%
Parallel Mothers,"$22,219,339","$2,297,501",10.30%,"$19,921,838",89.70%
Gooische vrouwen,"$22,194,574",-,-,"$22,194,574",100%
Upside Down,"$22,187,813","$105,095",0.50%,"$22,082,718",99.50%
Unbowed,"$22,132,903",-,-,"$22,132,903",100%
The Glass Castle,"$22,088,533","$17,273,059",78.20%,"$4,815,474",21.80%
Stree,"$22,075,730",-,-,"$22,075,730",100%
A Thousand Words,"$22,044,277","$18,450,127",83.70%,"$3,594,150",16.30%
Doraemon the Movie: Nobita's Little Star Wars 2021,"$22,044,058",-,-,"$22,044,058",100%
"Me, Them and Lara","$22,039,646",-,-,"$22,039,646",100%
Kaamelott: First Installment,"$21,979,122","$188,000",0.90%,"$21,791,122",99.10%
See How They Run,"$21,966,634","$9,586,237",43.60%,"$12,380,397",56.40%
Moss,"$21,925,534",-,-,"$21,925,534",100%
Ponniyin Selvan: Part I,"$21,876,105","$4,282,000",19.60%,"$17,594,105",80.40%
Decision to Leave,"$21,870,111","$1,994,838",9.10%,"$19,875,273",90.90%
The Immature,"$21,858,834",-,-,"$21,858,834",100%
Pleasant Goat and Big Big Wolf 3,"$21,847,806",-,-,"$21,847,806",100%
After We Fell,"$21,753,705","$2,170,750",10%,"$19,582,955",90%
Moana 2020 Re-release,"$21,736,672",-,-,"$21,736,672",100%
Silent Parade,"$21,723,595",-,-,"$21,723,595",100%
Confession of Murder,"$21,701,525",-,-,"$21,701,525",100%
22 Bullets,"$21,695,883",-,-,"$21,695,883",100%
Inazuma Eleven GO the Movie: The Ultimate Bonds Gryphon,"$21,645,379",-,-,"$21,645,379",100%
StreetDance 2 2012 Re-release,"$21,638,853",-,-,"$21,638,853",100%
Father Stu,"$21,592,379","$20,884,796",96.70%,"$707,583",3.30%
Just Wright,"$21,584,424","$21,540,363",99.80%,"$44,061",0.20%
Épouse-moi mon pote,"$21,571,464",-,-,"$21,571,464",100%
Quick,"$21,561,934",-,-,"$21,561,934",100%
2012 2012 Re-release,"$21,538,353",-,-,"$21,538,353",100%
Unplanned,"$21,515,607","$19,005,109",88.30%,"$2,510,498",11.70%
My Soul to Take,"$21,500,813","$14,744,435",68.60%,"$6,756,378",31.40%
K-On! The Movie,"$21,434,003",-,-,"$21,434,003",100%
Our Family Wedding,"$21,409,028","$20,255,281",94.60%,"$1,153,747",5.40%
Crazy Romance,"$21,386,368",-,-,"$21,386,368",100%
Shaft,"$21,360,215","$21,360,215",100%,-,-
Rurouni Kenshin: Final Chapter Part II - The Beginning,"$21,318,560",-,-,"$21,318,560",100%
Hotel Mumbai,"$21,314,816","$9,651,611",45.30%,"$11,663,205",54.70%
Integrity,"$21,290,004",-,-,"$21,290,004",100%
Stigmatized Properties,"$21,276,720",-,-,"$21,276,720",100%
Astral City: A Spiritual Journey,"$21,218,935",-,-,"$21,218,935",100%
The Prison,"$21,205,329","$207,481",1%,"$20,997,848",99%
Red Dog,"$21,185,162",-,-,"$21,185,162",100%
Wish Dragon,"$21,120,000",-,-,"$21,120,000",100%
Beasts of the Southern Wild,"$21,107,746","$12,795,746",60.60%,"$8,312,000",39.40%
Pokémon the Movie: Secrets of the Jungle,"$21,097,921",-,-,"$21,097,921",100%
The Secret Mission,"$21,083,522",-,-,"$21,083,522",100%
71: Into the Fire,"$20,967,660","$176,638",0.80%,"$20,791,022",99.20%
Emergency Declaration,"$20,831,764","$412,196",2%,"$20,419,568",98%
Vicky and the Treasure of the Gods,"$20,796,153",-,-,"$20,796,153",100%
Crayon Shin-chan: Shrouded in Mystery! The Flowers of Tenkasu Academy,"$20,752,104",-,-,"$20,752,104",100%
The Photograph,"$20,690,779","$20,578,185",99.50%,"$112,594",0.50%
The Front Line,"$20,629,645","$11,018",<0.1%,"$20,618,627",99.90%
Polisse,"$20,590,872","$211,440",1%,"$20,379,432",99%
