Title,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent
The Nut Job 2: Nutty by Nature,"$68,743,485","$28,370,522",41.30%,"$40,372,963",58.70%
The Call,"$68,572,631","$51,872,378",75.60%,"$16,700,253",24.40%
One Direction: This Is Us,"$68,532,898","$28,873,374",42.10%,"$39,659,524",57.90%
Stalingrad,"$68,316,452","$1,013,945",1.50%,"$67,302,507",98.50%
The Watch,"$68,267,862","$35,353,000",51.80%,"$32,914,862",48.20%
Moonrise Kingdom,"$68,263,166","$45,512,466",66.70%,"$22,750,700",33.30%
The Yin-Yang Master: Dream of Eternity,"$68,000,000",-,-,"$68,000,000",100%
Shoplifters,"$67,999,335","$3,313,513",4.90%,"$64,685,822",95.10%
Violent Night,"$67,959,912","$44,731,795",65.80%,"$23,228,117",34.20%
A Beautiful Day in the Neighborhood,"$67,925,733","$61,704,055",90.80%,"$6,221,678",9.20%
Legion,"$67,918,658","$40,168,080",59.10%,"$27,750,578",40.90%
The American,"$67,876,281","$35,606,376",52.50%,"$32,269,905",47.50%
Jersey Boys,"$67,647,013","$47,047,013",69.50%,"$20,600,000",30.50%
The Secret of the Gods,"$67,537,798",-,-,"$67,537,798",100%
12 Strong,"$67,450,815","$45,819,713",67.90%,"$21,631,102",32.10%
The Next Three Days,"$67,448,651","$21,148,651",31.40%,"$46,300,000",68.60%
Moonfall,"$67,295,363","$19,060,660",28.30%,"$48,234,703",71.70%
American Assassin,"$67,234,188","$36,249,674",53.90%,"$30,984,514",46.10%
War,"$67,179,155","$4,654,000",6.90%,"$62,525,155",93.10%
Skyline,"$66,984,887","$21,393,620",31.90%,"$45,591,267",68.10%
The Giver,"$66,980,456","$45,090,374",67.30%,"$21,890,082",32.70%
Madea's Witness Protection,"$66,899,242","$65,653,242",98.10%,"$1,246,000",1.90%
Selma,"$66,787,908","$52,076,908",78%,"$14,711,000",22%
A Violent Prosecutor,"$66,736,633",-,-,"$66,736,633",100%
Victoria & Abdul,"$66,558,465","$22,245,070",33.40%,"$44,313,395",66.60%
Strange World,"$66,544,359","$36,268,695",54.50%,"$30,275,664",45.50%
"Love, Simon","$66,316,289","$40,826,341",61.60%,"$25,489,948",38.40%
Mile 22,"$66,308,758","$36,108,758",54.50%,"$30,200,000",45.50%
One Piece Film: Gold,"$66,207,073","$423,593",0.60%,"$65,783,480",99.40%
Life of the Party,"$65,859,911","$53,059,911",80.60%,"$12,800,000",19.40%
Beijing Love Story,"$65,842,375","$428,318",0.70%,"$65,414,057",99.30%
